collective	comm_size	message_bytes	datatype_size	operation	calls_total	calls_mean	calls_min	calls_max	seconds_mean	seconds_max	pct_elapsed_mean
MPI_Bcast	64	4	4	-1	43008	672.000	672	672	2.301877535	2.926331646	1.823400
MPI_Allreduce	64	134368	8	3	46080	720.000	720	720	2.248578451	3.371789807	1.781183
MPI_Allreduce	64	626416	8	3	156672	2448.000	2448	2448	1.475183429	1.597351085	1.168546
MPI_Bcast	64	12	4	-1	76800	1200.000	1200	1200	1.436706158	1.496470185	1.138065
MPI_Bcast	16	33154256	8	-1	192	3.000	3	3	1.372874277	1.481680047	1.087501
MPI_Bcast	16	32108800	8	-1	64	1.000	1	1	1.104669500	1.178991824	0.875047
MPI_Bcast	16	32206992	8	-1	1088	17.000	17	17	0.748533985	0.997564121	0.592939
MPI_Bcast	64	8	4	-1	27328	427.000	427	427	0.681131015	0.709075988	0.539548
MPI_Allreduce	64	187680	8	3	9280	145.000	145	145	0.612012373	0.938148356	0.484799
MPI_Bcast	16	16390936	8	-1	192	3.000	3	3	0.501066720	0.539264807	0.396912
MPI_Bcast	16	14208976	8	-1	384	6.000	6	6	0.424001539	0.491289108	0.335866
MPI_Bcast	16	15922624	8	-1	1088	17.000	17	17	0.388720331	0.510810958	0.307918
MPI_Bcast	16	15858160	8	-1	64	1.000	1	1	0.328485540	0.354432389	0.260205
MPI_Allreduce	64	109088	8	3	18688	292.000	292	292	0.259268554	0.440510832	0.205376
MPI_Allreduce	64	18424	8	3	9216	144.000	144	144	0.224343285	0.438544513	0.177711
MPI_Allreduce	64	108864	8	3	56064	876.000	876	876	0.156826620	0.159101591	0.124228
MPI_Bcast	16	32117776	8	-1	64	1.000	1	1	0.103186150	0.108746541	0.081737
MPI_Allreduce	64	613088	8	3	9216	144.000	144	144	0.088751065	0.093678397	0.070303
MPI_Allreduce	64	613632	8	3	9216	144.000	144	144	0.086246002	0.092088257	0.068319
MPI_Allreduce	64	2632	8	3	37120	580.000	580	580	0.065302612	0.094552973	0.051729
MPI_Bcast	4	33154256	8	-1	12	0.188	0	3	0.057926800	0.932078768	0.045888
MPI_Bcast	4	32108800	8	-1	4	0.062	0	1	0.049596742	0.796006399	0.039289
