rank	17
elapsed	126.239024903
collective	comm_size	message_bytes	datatype_size	operation	calls	seconds
MPI_Bcast	64	200	4	-1	413	0.002495422
MPI_Bcast	64	8	4	-1	427	0.707652296
MPI_Bcast	64	12	4	-1	1200	1.473557862
MPI_Bcast	64	4	4	-1	672	2.785425811
MPI_Allreduce	64	8	8	3	491	0.017521714
MPI_Bcast	64	16	4	-1	228	0.000389619
MPI_Bcast	64	20	4	-1	289	0.000691288
MPI_Allreduce	64	313208	4	3	1	0.004118492
MPI_Bcast	64	2000	1	-1	289	0.002370879
MPI_Bcast	16	15855440	8	-1	1	0.047798463
MPI_Bcast	64	464464	8	-1	5	0.001361220
MPI_Bcast	16	14208976	8	-1	6	0.398243471
MPI_Bcast	64	468328	8	-1	23	0.009544093
MPI_Bcast	64	947280	8	-1	23	0.012248293
MPI_Bcast	64	136208	8	-1	10	0.003471000
MPI_Allreduce	64	2454528	8	3	1	0.006169183
MPI_Allreduce	64	463624	4	3	1	0.004087302
MPI_Allreduce	64	1226176	8	3	1	0.003340071
MPI_Bcast	16	16390936	8	-1	3	0.499671408
MPI_Allreduce	64	8	8	1	76	0.000852727
MPI_Allreduce	64	18048	8	3	146	0.018892410
MPI_Bcast	64	200	1	-1	165	0.000643251
MPI_Bcast	64	400	8	-1	165	0.001116252
MPI_Bcast	64	44	1	-1	1	0.001539291
MPI_Bcast	64	18000	4	-1	228	0.006664311
MPI_Allreduce	64	18032	8	3	146	0.022893813
MPI_Allreduce	64	18424	8	3	144	0.230012317
MPI_Bcast	64	160	8	-1	335	0.035566238
MPI_Allreduce	64	8	8	2	14	0.001333220
MPI_Bcast	64	544832	8	-1	1	0.001072100
MPI_Bcast	16	15858160	8	-1	1	0.334529559
MPI_Bcast	64	96	8	-1	35	0.000126000
MPI_Bcast	64	120	8	-1	8	0.000052820
MPI_Bcast	64	8	8	-1	180	0.000347130
MPI_Bcast	64	256	1	-1	1	0.000181600
MPI_Bcast	64	98192	8	-1	56	0.020609298
MPI_Allreduce	64	462672	4	3	2	0.006676513
MPI_Allreduce	64	3708992	8	3	1	0.007141483
MPI_Bcast	64	941776	8	-1	5	0.002403960
MPI_Allreduce	64	306816	4	3	1	0.001440931
MPI_Bcast	64	466432	8	-1	8	0.002095051
MPI_Allreduce	64	108864	8	3	876	0.158397631
MPI_Allreduce	64	3701376	8	3	2	0.014311017
MPI_Bcast	64	36000	1	-1	228	0.018262865
MPI_Bcast	64	89488	8	-1	34	0.006232321
MPI_Bcast	64	11688	8	-1	4	0.000117160
MPI_Bcast	16	32117776	8	-1	1	0.105036320
MPI_Allreduce	64	613088	8	3	144	0.091617188
MPI_Bcast	64	466352	8	-1	8	0.002319620
MPI_Bcast	64	68104	4	-1	6	0.001593220
MPI_Allreduce	64	1227264	8	3	1	0.003299982
MPI_Allreduce	64	306544	4	3	1	0.002140471
MPI_Bcast	16	33154256	8	-1	3	1.415291344
MPI_Allreduce	64	109088	8	3	292	0.265330900
MPI_Allreduce	64	27216	8	3	4	0.003125311
MPI_Allreduce	64	2632	8	3	580	0.063008748
MPI_Allreduce	64	112	16	11	27	0.000570020
MPI_Allreduce	64	2452352	8	3	1	0.005944253
MPI_Allreduce	64	2505664	8	3	1	0.011062106
MPI_Bcast	16	15922624	8	-1	17	0.254912149
MPI_Allreduce	64	2888	8	3	1160	0.032762292
MPI_Allreduce	64	134368	8	3	720	2.128282148
MPI_Bcast	64	2888	8	-1	12	0.000175481
MPI_Bcast	64	2920	8	-1	29	0.000420710
MPI_Allreduce	64	1854496	8	3	1	0.005073723
MPI_Allreduce	64	1252832	8	3	1	0.003684962
MPI_Bcast	64	2632	8	-1	6	0.000093920
MPI_Allreduce	64	613632	8	3	144	0.087338014
MPI_Allreduce	64	187680	8	3	145	0.617421819
MPI_Allreduce	64	1850688	8	3	2	0.009657534
MPI_Bcast	64	944656	8	-1	8	0.004308283
MPI_Allreduce	64	626416	8	3	2448	1.497903818
MPI_Bcast	64	3600	4	-1	1140	0.064817197
MPI_Bcast	64	944392	8	-1	8	0.004211872
MPI_Bcast	16	32206992	8	-1	17	0.503655001
MPI_Bcast	64	2048	1	-1	1	0.000020170
MPI_Bcast	64	51200	1	-1	165	0.015449617
MPI_Bcast	16	32108800	8	-1	1	1.135847092
