"File","Line","Subroutine","Routine","Nvar","FieldCount","FieldArgs","ArgCount","Statement"
"analytical.f90","374","ana_stflux_tile","mp_exchange2d","1","1","stflx(:,:,itrc)","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), stflx(:,:,itrc))"
"get_grid.f90","252","get_grid","mp_exchange2d","1","1","GRID(ng) % h","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), GRID(ng) % h)"
"get_grid.f90","286","get_grid","mp_exchange2d","1","1","GRID(ng) % rmask","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), GRID(ng) % rmask)"
"get_grid.f90","320","get_grid","mp_exchange2d","1","1","GRID(ng) % umask","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), GRID(ng) % umask)"
"get_grid.f90","354","get_grid","mp_exchange2d","1","1","GRID(ng) % vmask","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), GRID(ng) % vmask)"
"get_grid.f90","381","get_grid","mp_exchange2d","1","1","GRID(ng) % pmask","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), GRID(ng) % pmask)"
"get_grid.f90","409","get_grid","mp_exchange2d","1","1","MIXING(ng) % visc_factor","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), MIXING(ng) % visc_factor)"
"get_grid.f90","438","get_grid","mp_exchange2d","1","1","MIXING(ng) % diff_factor","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), MIXING(ng) % diff_factor)"
"get_grid.f90","473","get_grid","mp_exchange2d","1","1","GRID(ng) % f","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), GRID(ng) % f)"
"get_grid.f90","508","get_grid","mp_exchange2d","1","1","GRID(ng) % pm","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), GRID(ng) % pm)"
"get_grid.f90","543","get_grid","mp_exchange2d","1","1","GRID(ng) % pn","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), GRID(ng) % pn)"
"get_grid.f90","577","get_grid","mp_exchange2d","1","1","GRID(ng) % dmde","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), GRID(ng) % dmde)"
"get_grid.f90","611","get_grid","mp_exchange2d","1","1","GRID(ng) % dndx","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), GRID(ng) % dndx)"
"get_grid.f90","633","get_grid","mp_exchange2d","1","1","GRID(ng) % xp","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, .FALSE., .FALSE., GRID(ng) % xp)"
"get_grid.f90","655","get_grid","mp_exchange2d","1","1","GRID(ng) % yp","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, .FALSE., .FALSE., GRID(ng) % yp)"
"get_grid.f90","686","get_grid","mp_exchange2d","1","1","GRID(ng) % xr","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, .FALSE., .FALSE., GRID(ng) % xr)"
"get_grid.f90","717","get_grid","mp_exchange2d","1","1","GRID(ng) % yr","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, .FALSE., .FALSE., GRID(ng) % yr)"
"get_grid.f90","748","get_grid","mp_exchange2d","1","1","GRID(ng) % xu","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, .FALSE., .FALSE., GRID(ng) % xu)"
"get_grid.f90","779","get_grid","mp_exchange2d","1","1","GRID(ng) % yu","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, .FALSE., .FALSE., GRID(ng) % yu)"
"get_grid.f90","810","get_grid","mp_exchange2d","1","1","GRID(ng) % xv","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, .FALSE., .FALSE., GRID(ng) % xv)"
"get_grid.f90","841","get_grid","mp_exchange2d","1","1","GRID(ng) % yv","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, .FALSE., .FALSE., GRID(ng) % yv)"
"get_grid.f90","864","get_grid","mp_exchange2d","1","1","GRID(ng) % lonp","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, .FALSE., .FALSE., GRID(ng) % lonp)"
"get_grid.f90","888","get_grid","mp_exchange2d","1","1","GRID(ng) % latp","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, .FALSE., .FALSE., GRID(ng) % latp)"
"get_grid.f90","919","get_grid","mp_exchange2d","1","1","GRID(ng) % lonr","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, .FALSE., .FALSE., GRID(ng) % lonr)"
"get_grid.f90","950","get_grid","mp_exchange2d","1","1","GRID(ng) % latr","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, .FALSE., .FALSE., GRID(ng) % latr)"
"get_grid.f90","981","get_grid","mp_exchange2d","1","1","GRID(ng) % lonu","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, .FALSE., .FALSE., GRID(ng) % lonu)"
"get_grid.f90","1012","get_grid","mp_exchange2d","1","1","GRID(ng) % latu","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, .FALSE., .FALSE., GRID(ng) % latu)"
"get_grid.f90","1043","get_grid","mp_exchange2d","1","1","GRID(ng) % lonv","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, .FALSE., .FALSE., GRID(ng) % lonv)"
"get_grid.f90","1074","get_grid","mp_exchange2d","1","1","GRID(ng) % latv","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, .FALSE., .FALSE., GRID(ng) % latv)"
"get_grid.f90","1109","get_grid","mp_exchange2d","1","1","GRID(ng) % angler","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), GRID(ng) % angler)"
"get_nudgcoef.f90","193","get_nudgcoef","mp_exchange2d","1","1","CLIMA(ng) % M2nudgcof","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), CLIMA(ng) % M2nudgcof)"
"get_nudgcoef.f90","243","get_nudgcoef","mp_exchange3d","1","1","CLIMA(ng) % M3nudgcof","14","CALL mp_exchange3d (ng, tile, model, 1, LBi, UBi, LBj, UBj, 1, N(ng), NghostPoints, EWperiodic(ng), NSperiodic(ng), CLIMA(ng) % M3nudgcof)"
"get_nudgcoef.f90","307","get_nudgcoef","mp_exchange4d","1","1","CLIMA(ng) % Tnudgcof","16","CALL mp_exchange4d (ng, tile, model, 1, LBi, UBi, LBj, UBj, 1, N(ng), 1, NTCLM(ng), NghostPoints, EWperiodic(ng), NSperiodic(ng), CLIMA(ng) % Tnudgcof)"
"get_state.f90","750","get_state","mp_exchange3d","1","1","MIXING(ng) % AKv","14","CALL mp_exchange3d (ng, MyRank, IDmod, 1, LBi, UBi, LBj, UBj, 0, N(ng), NghostPoints, EWperiodic(ng), NSperiodic(ng), MIXING(ng) % AKv)"
"get_state.f90","783","get_state","mp_exchange3d","1","1","MIXING(ng) % AKt(:,:,:,itemp)","14","CALL mp_exchange3d (ng, MyRank, IDmod, 1, LBi, UBi, LBj, UBj, 0, N(ng), NghostPoints, EWperiodic(ng), NSperiodic(ng), MIXING(ng) % AKt(:,:,:,itemp))"
"get_state.f90","816","get_state","mp_exchange3d","1","1","MIXING(ng) % AKt(:,:,:,isalt)","14","CALL mp_exchange3d (ng, MyRank, IDmod, 1, LBi, UBi, LBj, UBj, 0, N(ng), NghostPoints, EWperiodic(ng), NSperiodic(ng), MIXING(ng) % AKt(:,:,:,isalt))"
"get_wetdry.f90","215","get_wetdry","mp_exchange2d","4","4","GRID(ng) % pmask_wet | GRID(ng) % rmask_wet | GRID(ng) % umask_wet | GRID(ng) % vmask_wet","15","CALL mp_exchange2d (ng, tile, model, 4, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), GRID(ng) % pmask_wet, GRID(ng) % rmask_wet, GRID(ng) % umask_wet, GRID(ng) % vmask_wet)"
"gls_corstep.f90","885","gls_corstep_tile","mp_exchange3d","3","3","tke(:,:,:,nnew) | gls(:,:,:,nnew) | Akv","16","CALL mp_exchange3d (ng, tile, iNLM, 3, LBi, UBi, LBj, UBj, 0, N(ng), NghostPoints, EWperiodic(ng), NSperiodic(ng), tke(:,:,:,nnew), gls(:,:,:,nnew), Akv)"
"gls_corstep.f90","892","gls_corstep_tile","mp_exchange4d","1","1","Akt","16","CALL mp_exchange4d (ng, tile, iNLM, 1, LBi, UBi, LBj, UBj, 0, N(ng), 1, NAT, NghostPoints, EWperiodic(ng), NSperiodic(ng), Akt)"
"gls_prestep.f90","400","gls_prestep_tile","mp_exchange3d","2","2","tke(:,:,:,3) | gls(:,:,:,3)","15","CALL mp_exchange3d (ng, tile, iNLM, 2, LBi, UBi, LBj, UBj, 0, N(ng), NghostPoints, EWperiodic(ng), NSperiodic(ng), tke(:,:,:,3), gls(:,:,:,3))"
"hmixing.f90","384","hmixing_tile","mp_exchange3d","2","2","diff3d_u | diff3d_v","15","CALL mp_exchange3d (ng, tile, iNLM, 2, LBi, UBi, LBj, UBj, 1, N(ng), NghostPoints, EWperiodic(ng), NSperiodic(ng), diff3d_u, diff3d_v)"
"ini_fields.f90","280","ini_fields_tile","mp_exchange3d","4","4","u(:,:,:,nstp) | v(:,:,:,nstp) | u(:,:,:,nnew) | v(:,:,:,nnew)","17","CALL mp_exchange3d (ng, tile, model, 4, LBi, UBi, LBj, UBj, 1, N(ng), NghostPoints, EWperiodic(ng), NSperiodic(ng), u(:,:,:,nstp), v(:,:,:,nstp), u(:,:,:,nnew), v(:,:,:,nnew))"
"ini_fields.f90","384","ini_fields_tile","mp_exchange2d","4","4","ubar(:,:,kstp) | vbar(:,:,kstp) | ubar(:,:,knew) | vbar(:,:,knew)","15","CALL mp_exchange2d (ng, tile, model, 4, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), ubar(:,:,kstp), vbar(:,:,kstp), ubar(:,:,knew), vbar(:,:,knew))"
"ini_fields.f90","438","ini_fields_tile","mp_exchange4d","2","2","t(:,:,:,nstp,:) | t(:,:,:,nnew,:)","17","CALL mp_exchange4d (ng, tile, model, 2, LBi, UBi, LBj, UBj, 1, N(ng), 1, NT(ng), NghostPoints, EWperiodic(ng), NSperiodic(ng), t(:,:,:,nstp,:), t(:,:,:,nnew,:))"
"ini_fields.f90","470","ini_fields_tile","mp_exchange3d","3","3","rubar | rvbar | rzeta","16","CALL mp_exchange3d (ng, tile, model, 3, LBi, UBi, LBj, UBj, 1, 2, NghostPoints, EWperiodic(ng), NSperiodic(ng), rubar, rvbar, rzeta)"
"ini_fields.f90","475","ini_fields_tile","mp_exchange4d","2","2","ru | rv","17","CALL mp_exchange4d (ng, tile, model, 2, LBi, UBi, LBj, UBj, 0, N(ng), 1, 2, NghostPoints, EWperiodic(ng), NSperiodic(ng), ru, rv)"
"ini_fields.f90","698","ini_zeta_tile","mp_exchange2d","2","2","zeta(:,:,kstp) | zeta(:,:,knew)","13","CALL mp_exchange2d (ng, tile, model, 2, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), zeta(:,:,kstp), zeta(:,:,knew))"
"ini_fields.f90","705","ini_zeta_tile","mp_exchange2d","1","1","zeta(:,:,krhs)","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), zeta(:,:,krhs))"
"ini_fields.f90","711","ini_zeta_tile","mp_exchange2d","1","1","rmask_wet","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), rmask_wet)"
"ini_fields.f90","733","ini_zeta_tile","mp_exchange2d","1","1","Zt_avg1","12","CALL mp_exchange2d (ng, tile, model, 1, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), Zt_avg1)"
"ini_hmixcoef.f90","311","ini_hmixcoef_tile","mp_exchange2d","2","2","visc2_r | visc2_p","13","CALL mp_exchange2d (ng, tile, model, 2, LBi, UBi, LBj, UBj, NghostPoints, EWperiodic(ng), NSperiodic(ng), visc2_r, visc2_p)"
"ini_hmixcoef.f90","316","ini_hmixcoef_tile","mp_exchange3d","1","1","diff4","14","CALL mp_exchange3d (ng, tile, model, 1, LBi, UBi, LBj, UBj, 1, NT(ng), NghostPoints, EWperiodic(ng), NSperiodic(ng), diff4)"
