#rank=60	host=i17r2n11	pid=3803	events=342847	overflow=0	block_seconds=6.000000
op	caller	count	tag	peer_class	b0_calls	b0_gap_sum	b0_gap_max	b0_mpi_sum	b0_mpi_max	b1_calls	b1_gap_sum	b1_gap_max	b1_mpi_sum	b1_mpi_max	b2_calls	b2_gap_sum	b2_gap_max	b2_mpi_sum	b2_mpi_max
1	0x62420d	176868	4	-8	1	0.001956812	0.001956812	0.000002140	0.000002140	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5de5b4	14280	3	1	4	0.000003020	0.000001210	0.000196230	0.000102010	87	0.000060530	0.000006860	0.004529681	0.000472021	30	0.000018180	0.000001860	0.001755812	0.000324211
1	0x62ac22	156060	1	1	1	0.000014880	0.000014880	0.000000210	0.000000210	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5e1aea	312	4	-8	85	0.000036600	0.000001450	0.000008620	0.000000170	680	0.000296790	0.000007830	0.000066830	0.000000180	340	0.000143121	0.000001860	0.000033510	0.000000360
3	0x62ab93	156060	3	1	1	0.000004450	0.000004450	0.000912002	0.000912002	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x6481e0	68850	3	-1	1	0.000848401	0.000848401	0.000006930	0.000006930	8	0.007764643	0.001098332	0.000009520	0.000001770	4	0.004231518	0.001068022	0.000004020	0.000001520
6	0x55fc42	463624	-1	-1	1	0.003354535	0.003354535	0.009140433	0.009140433	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5e1aea	108	4	-8	290	0.000056000	0.000001400	0.000031880	0.000000740	10230	0.001884574	0.000009240	0.000914490	0.000006960	3517	0.000654602	0.000006460	0.000314451	0.000001760
3	0x5de5fa	2295	1	-1	1	0.000001850	0.000001850	0.000180651	0.000180651	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5de640	4590	1	1	1	0.000009770	0.000009770	0.000000130	0.000000130	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x62ac22	78030	1	1	1	0.000014070	0.000014070	0.000000410	0.000000410	32	0.000032180	0.000012820	0.000012280	0.000002050	16	0.000018010	0.000008780	0.000005330	0.000000550
3	0x64b0a7	53550	1	-1	1	0.000006540	0.000006540	0.000109340	0.000109340	43	0.000022750	0.000003710	0.007915189	0.001532382	16	0.000012180	0.000004970	0.001383472	0.000171760
3	0x628017	7560	2	-8	1	0.000000270	0.000000270	0.000062330	0.000062330	43	0.000016770	0.000001070	0.022968502	0.006774949	16	0.000005860	0.000001150	0.001076165	0.000191121
4	0x5dce3c	1	-1	-1	66	0.000083970	0.000021950	0.003184183	0.002047413	692	0.000256890	0.000002290	0.022230908	0.001057761	266	0.000105030	0.000002030	0.007173963	0.000500531
3	0x5de5fa	1785	1	-1	1	0.000004240	0.000004240	0.000007860	0.000007860	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x621701	121380	3	-1	1	0.005013517	0.005013517	0.000003510	0.000003510	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5dfbdb	282	3	-1	85	0.000728551	0.000214320	0.000013560	0.000002840	680	0.004261047	0.000038890	0.000098650	0.000005270	340	0.002128164	0.000037450	0.000044970	0.000002330
1	0x62420d	10404	4	-8	1	0.000034990	0.000034990	0.000000370	0.000000370	8	0.000268361	0.000037521	0.000008500	0.000001690	4	0.000141990	0.000037760	0.000005080	0.000001770
3	0x5de5fa	4725	1	-1	14	0.000006840	0.000001800	0.000689740	0.000310420	48	0.000016060	0.000001480	0.001410190	0.000151790	24	0.000008890	0.000000820	0.000652292	0.000062370
1	0x5de640	7350	1	1	1	0.000000710	0.000000710	0.000000440	0.000000440	44	0.000020750	0.000001230	0.000013250	0.000000600	15	0.000008340	0.000001940	0.000005860	0.000000960
6	0x560ac0	2254	-1	-1	0	0.000000000	0.000000000	0.000000000	0.000000000	8	0.000142220	0.000021930	0.002857123	0.000635871	4	0.000067531	0.000018700	0.000486380	0.000140070
1	0x5e68b2	135	1	1	268	0.000024030	0.000004200	0.000031370	0.000000340	1888	0.000132351	0.000000910	0.000268182	0.000002730	944	0.000066430	0.000001080	0.000121300	0.000000840
3	0x64a1c4	55080	2	-8	1	0.000000440	0.000000440	0.000167520	0.000167520	43	0.000021280	0.000002180	0.018067015	0.002286814	16	0.000008500	0.000001600	0.004259964	0.000319160
3	0x5e6875	315	1	-1	5	0.000018620	0.000017580	0.000006360	0.000001670	130	0.000032980	0.000001430	0.000173071	0.000002450	45	0.000012270	0.000001230	0.000069260	0.000012250
3	0x64b0a7	68850	1	-1	1	0.000002680	0.000002680	0.000076220	0.000076220	8	0.000003870	0.000001050	0.003743674	0.001835482	4	0.000002810	0.000000940	0.000322360	0.000085850
1	0x621701	7140	3	-1	1	0.003863835	0.003863835	0.000006370	0.000006370	43	0.166882788	0.004123646	0.000215640	0.000008040	16	0.062768977	0.004187346	0.000081740	0.000010510
1	0x5de640	4725	1	1	14	0.000011450	0.000004040	0.000002710	0.000000820	48	0.000017431	0.000001860	0.000015660	0.000001730	24	0.000011370	0.000003520	0.000006750	0.000001570
1	0x5de640	18360	1	1	2	0.000000690	0.000000400	0.000000400	0.000000300	8	0.000002930	0.000000530	0.000002490	0.000000470	4	0.000002100	0.000000840	0.000001340	0.000000470
1	0x621701	156060	3	-1	1	0.008019222	0.008019222	0.000004970	0.000004970	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
4	0x5e37df	1	-1	-1	1120	0.000468821	0.000346301	0.009809815	0.000925142	25883	0.002251093	0.000007750	0.262974288	0.008145482	9496	0.000833451	0.000001040	0.067065962	0.001407862
4	0x5e565b	1	-1	-1	1120	0.000490100	0.000373760	0.003391225	0.000335430	25883	0.001998407	0.000006320	0.055389183	0.001063641	9496	0.000740032	0.000001520	0.020182115	0.000732521
3	0x5db855	1836	2	-8	1	0.000001930	0.000001930	0.000005430	0.000005430	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5d4bb5	2295	3	-1	1	0.000007750	0.000007750	0.000000140	0.000000140	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5d795f	10710	4	-8	1	0.000035711	0.000035711	0.000000640	0.000000640	8	0.000223451	0.000034280	0.000004260	0.000001850	4	0.000123160	0.000033270	0.000001930	0.000000670
1	0x5dfbdb	405	3	-1	1	0.000006010	0.000006010	0.000000120	0.000000120	8	0.000049050	0.000006390	0.000000920	0.000000130	4	0.000024740	0.000006430	0.000000510	0.000000130
1	0x5d4bb5	1785	3	-1	1	0.000004770	0.000004770	0.000000110	0.000000110	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5de5fa	7350	1	-1	1	0.000013670	0.000013670	0.000055370	0.000055370	44	0.000018611	0.000002491	0.016479984	0.002855534	15	0.000006260	0.000000930	0.003019114	0.000939121
1	0x5e68b2	420	1	1	98	0.000015080	0.000006090	0.000008440	0.000000220	3871	0.000302071	0.000006310	0.000366320	0.000001970	1320	0.000100180	0.000000980	0.000128390	0.000001610
3	0x5e6875	270	1	-1	94	0.000010060	0.000001620	0.000119210	0.000008810	712	0.000053790	0.000001030	0.000839541	0.000007720	356	0.000027360	0.000000660	0.000417040	0.000002920
3	0x5de5fa	4590	1	-1	1	0.000001080	0.000001080	0.000012820	0.000012820	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5e6875	216	1	-1	85	0.000005550	0.000000330	0.000089750	0.000001960	3740	0.000243710	0.000000750	0.003910296	0.000008180	1275	0.000083130	0.000000790	0.001345754	0.000008930
3	0x5e46e2	612	2	-8	96	0.000010160	0.000001900	0.000222980	0.000009430	712	0.000057070	0.000001130	0.001277050	0.000007520	356	0.000034900	0.000006360	0.000635850	0.000002360
1	0x62ac22	182070	1	1	2	0.000019940	0.000019330	0.000001280	0.000000950	43	0.000044660	0.000010750	0.000016720	0.000000810	15	0.000019760	0.000008420	0.000007080	0.000000680
6	0x56074e	13608	-1	-1	12	0.001772003	0.000774171	0.008853423	0.000909641	48	0.001942912	0.000080220	0.011040156	0.000930031	24	0.001061513	0.000072870	0.004071934	0.000331880
3	0x5db855	5202	2	-8	1	0.000000320	0.000000320	0.000035440	0.000035440	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5de5b4	18360	3	1	2	0.000001450	0.000000770	0.000135780	0.000088320	8	0.000005390	0.000001950	0.000410402	0.000088600	4	0.000003800	0.000002420	0.000247130	0.000105590
3	0x62abd9	9450	1	-1	1	0.000002140	0.000002140	0.000029750	0.000029750	8	0.000003620	0.000001130	0.014735203	0.006680419	4	0.000001960	0.000001000	0.000194970	0.000115050
4	0x6280fb	1	-1	-1	11	0.005105389	0.001295912	0.000008580	0.000003190	220	0.073688862	0.001418332	0.000126261	0.000003260	86	0.027268910	0.001367902	0.000048210	0.000003410
1	0x5de640	1785	1	1	1	0.000003881	0.000003881	0.000000120	0.000000120	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
6	0x55fc42	156604	-1	-1	1	0.000065510	0.000065510	0.003740945	0.003740945	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
6	0x560e5b	2256	-1	-1	2	0.000004700	0.000004550	0.000572631	0.000463101	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
