Failed to open /opt/hpc/software/compiler/intel/intel-compiler-2017.5.239/compiler/lib/intel64_lin/libiomp5.so, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 24K of event 'cpu-clock:u'
# Event count (approx.): 123482396625
#
# Overhead  Symbol                                                                           Shared Object                        
# ........  ...............................................................................  .....................................
#
    13.72%  [.] pre_step3d_mod_mp_pre_step3d_tile_                                           oceanM.s47_SELQUANT_best_20260810.bak
    10.73%  [.] uct_dc_mlx5_iface_progress                                                   libuct_ib.so.0.0.0                   
    10.07%  [.] step3d_t_mod_mp_step3d_t_tile_                                               oceanM.s47_SELQUANT_best_20260810.bak
     7.02%  [.] __libm_pow_e7                                                                oceanM.s47_SELQUANT_best_20260810.bak
     5.59%  [.] biology_mod_mp_biology_tile_                                                 oceanM.s47_SELQUANT_best_20260810.bak
     5.29%  [.] t3dmix_mod_mp_t3dmix4_tile_                                                  oceanM.s47_SELQUANT_best_20260810.bak
     4.99%  [.] gls_corstep_mod_mp_gls_corstep_tile_                                         oceanM.s47_SELQUANT_best_20260810.bak
     4.35%  [.] mp_exchange_mod_mp_mp_exchange4d_                                            oceanM.s47_SELQUANT_best_20260810.bak
     4.17%  [.] step2d_mod_mp_step2d_tile_                                                   oceanM.s47_SELQUANT_best_20260810.bak
     2.21%  [.] set_avg_mod_mp_set_avg_tile_                                                 oceanM.s47_SELQUANT_best_20260810.bak
     1.99%  [.] nesting_mod_mp_get_contact3d_                                                oceanM.s47_SELQUANT_best_20260810.bak
     1.92%  [.] ucp_worker_progress                                                          libucp.so.0.0.0                      
     1.89%  [.] uct_mm_iface_progress                                                        libuct.so.0.0.0                      
     1.88%  [.] __libm_exp_e7                                                                oceanM.s47_SELQUANT_best_20260810.bak
     1.60%  [.] nesting_mod_mp_put_refine3d_                                                 oceanM.s47_SELQUANT_best_20260810.bak
     1.20%  [.] nesting_mod_mp_collect_bry_fluxes_                                           oceanM.s47_SELQUANT_best_20260810.bak
     1.08%  [.] rho_eos_mod_mp_rho_eos_tile_                                                 oceanM.s47_SELQUANT_best_20260810.bak
     1.03%  [.] rhs3d_mod_mp_rhs3d_tile_                                                     oceanM.s47_SELQUANT_best_20260810.bak
     1.02%  [.] step3d_uv_mod_mp_step3d_uv_tile_                                             oceanM.s47_SELQUANT_best_20260810.bak
     0.89%  [.] __powr8i4                                                                    oceanM.s47_SELQUANT_best_20260810.bak
     0.88%  [.] opal_progress                                                                libopen-pal.so.40.20.4               
     0.88%  [.] prsgrd_mod_mp_prsgrd_tile_                                                   oceanM.s47_SELQUANT_best_20260810.bak
     0.85%  [.] __memcpy_sse2                                                                libc-2.17.so                         
     0.85%  [.] mp_exchange_mod_mp_mp_exchange3d_                                            oceanM.s47_SELQUANT_best_20260810.bak
     0.81%  [.] nesting_mod_mp_bry_fluxes_                                                   oceanM.s47_SELQUANT_best_20260810.bak
     0.75%  [.] gls_prestep_mod_mp_gls_prestep_tile_                                         oceanM.s47_SELQUANT_best_20260810.bak
     0.72%  [.] mca_pml_ucx_send                                                             mca_pml_ucx.so                       
     0.72%  [.] ompi_coll_libnbc_progress                                                    mca_coll_libnbc.so                   
     0.72%  [.] opal_timer_linux_get_cycles_sys_timer                                        libopen-pal.so.40.20.4               
     0.66%  [.] mp_exchange_mod_mp_mp_exchange4d_q_                                          oceanM.s47_SELQUANT_best_20260810.bak
     0.62%  [.] __memset_x86_64                                                              libc-2.17.so                         
     0.61%  [.] hmixing_mod_mp_hmixing_tile_                                                 oceanM.s47_SELQUANT_best_20260810.bak
     0.61%  [.] biology_mod_mp_ta_iter_1_                                                    oceanM.s47_SELQUANT_best_20260810.bak
     0.56%  [.] wetdry_mod_mp_wetdry_mask_tile_                                              oceanM.s47_SELQUANT_best_20260810.bak
     0.53%  [.] nesting_mod_mp_fine2coarse3d_                                                oceanM.s47_SELQUANT_best_20260810.bak
     0.50%  [.] uv3dmix_mod_mp_uv3dmix2_tile_                                                oceanM.s47_SELQUANT_best_20260810.bak
     0.39%  [.] omega_mod_mp_omega_tile_                                                     oceanM.s47_SELQUANT_best_20260810.bak
     0.39%  [.] mp_exchange_mod_mp_mp_exchange2d_                                            oceanM.s47_SELQUANT_best_20260810.bak
     0.35%  [.] set_massflux_mod_mp_set_massflux_tile_                                       oceanM.s47_SELQUANT_best_20260810.bak
     0.29%  [.] lmd_swfrac_tile_                                                             oceanM.s47_SELQUANT_best_20260810.bak
     0.29%  [.] wvelocity_mod_mp_wvelocity_tile_                                             oceanM.s47_SELQUANT_best_20260810.bak
